qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;tNetto(t)(1);Statusflag;tNetto(t)(2);Statusflag;tNetto(t)(3);Statusflag
3820;1;8980;1;4949;1;3448;1 nErf ;8928;1 nErf ;4520;1 nErf ;372;1;52;1;429;1;119;1 nErf ;64;1 nErf ;87;1 nErf ;122;1;64;1;95;1;94;1;108;1;6;1;181;1;176;1;10;1;48;1;47;1;46;1;222;1 Fehl Impl ;241;1 Fehl Impl ;16;1
1007;1;2939;1;5123;1;823;1 nErf ;2723;1 nErf ;4775;1 nErf ;184;1;216;1;348;1;197;1 nErf ;239;1 nErf ;235;1 nErf ;227;1;249;1;248;1;61;1;108;1;56;1;198;1;59;1;92;1;20;1;14;1;31;1;80;1 Fehl Impl ;201;1 Fehl Impl ;81;1 Fehl Impl 
5965;1;6277;1;8297;1;5744;1 nErf ;6042;1 nErf ;7908;1 nErf ;221;1;235;1;389;1;14;1 nErf ;85;1 nErf ;22;1 nErf ;13;1;84;1;19;1;37;1;100;1;76;1;17;1;25;1;134;1;33;1;33;1;25;1;54;1;197;1 Fehl Impl ;75;1 Fehl Impl 
8991;1;4713;1;6388;1;8854;1 nErf ;4424;1 nErf ;5944;1 nErf ;137;1;289;1;444;1;238;1 nErf ;54;1 nErf ;63;1 nErf ;241;1;57;1;62;1;27;1;11;1;79;1;66;1;186;1;29;1;25;1;30;1;24;1;3;1;18;1;106;1 Fehl Impl 
8846;1;6764;1;8160;1;8627;1 nErf ;6670;1 nErf ;7894;1 nErf ;219;1;94;1;266;1;232;1 nErf ;128;1 nErf ;73;1 nErf ;237;1;130;1;75;1;39;1;22;1;8;1;148;1;100;1;88;1;43;1;39;1;46;1;30;1;131;1 Fehl Impl ;139;1 Fehl Impl 
9585;1;5403;1;3065;1;9579;1 nErf ;5271;1 nErf ;3052;1 nErf ;6;1;132;1;13;1;20;1 nErf ;196;1 nErf ;8;1 nErf ;20;1;199;1;8;1;66;1;92;1;94;1;73;1;152;1;48;1;8;1;44;1;14;1;205;1 Fehl Impl ;82;1 Fehl Impl ;57;1
145;1 Fehl Impl ;9503;1;7623;1;-2;1 Fehl Impl nErf ;9143;1 nErf ;7266;1 nErf ;223;1 Fehl Impl ;360;1;357;1;100;1 Fehl Impl nErf ;247;1 nErf ;231;1 nErf ;134;1 Fehl Impl ;254;1;241;1;66;1 Fehl Impl ;71;1;17;1;125;1 Fehl Impl ;175;1;137;1;39;1 Fehl Impl ;27;1;52;1;169;1 Fehl Impl ;140;1 Fehl Impl ;202;1 Fehl Impl 
4074;1;8978;1;1322;1;4028;1 nErf ;8664;1 nErf ;1179;1 nErf ;46;1;314;1;143;1;85;1 nErf ;122;1 nErf ;16;1 nErf ;86;1;124;1;4;1;35;1;53;1;113;1;168;1;186;1;23;1;12;1;6;1;6;1;13;1;70;1 Fehl Impl ;83;1 Fehl Impl 
0;1 Fehl Impl ;4740;1;7529;1;-2;1 Fehl Impl nErf ;4442;1 nErf ;7162;1 nErf ;57023;1 Fehl Impl ;298;1;367;1;-1;1 Fehl Impl nErm nErf ;113;1 nErf ;62;1 nErf ;199;1 Fehl Impl ;118;1;64;1;90;1 Fehl Impl ;34;1;30;1;4;1 Fehl Impl ;154;1;137;1;43;1 Fehl Impl ;27;1;59;1;220;1 Fehl Impl ;78;1 Fehl Impl ;85;1 Fehl Impl 
0;1 Fehl Impl ;1373;1;3713;1;0;1 Fehl Impl nErf ;1106;1 nErf ;3629;1 nErf ;0;1 Fehl Impl ;267;1;84;1;-1;1 Fehl Impl nErm nErf ;33;1 nErf ;7;1 nErf ;235;1 Fehl Impl ;14;1;5;1;139;1 Fehl Impl ;114;1;105;1;13;1 Fehl Impl ;27;1;41;1;13;1 Fehl Impl ;14;1;13;1;35;1 Fehl Impl ;187;1 Fehl Impl ;4;1
24368;1 Fehl Impl ;5278;1;5611;1;0;1 Fehl Impl nErf ;4801;1 nErf ;5508;1 nErf ;24368;1 Fehl Impl ;477;1;103;1;74;1 Fehl Impl nErf ;158;1 nErf ;111;1 nErf ;26;1 Fehl Impl ;164;1;111;1;74;1 Fehl Impl ;96;1;101;1;143;1 Fehl Impl ;36;1;13;1;93;1 Fehl Impl ;35;1;25;1;62;1 Fehl Impl ;246;1 Fehl Impl ;205;1 Fehl Impl 
59656;1 Fehl Impl ;461;1;8992;1;0;1 Fehl Impl nErf ;361;1 nErf ;8697;1 nErf ;59656;1 Fehl Impl ;100;1;295;1;164;1 Fehl Impl nErf ;125;1 nErf ;31;1 nErf ;255;1 Fehl Impl ;133;1;31;1;164;1 Fehl Impl ;96;1;30;1;230;1 Fehl Impl ;134;1;17;1;81;1 Fehl Impl ;9;1;42;1;12;1 Fehl Impl ;5;1;160;1 Fehl Impl 
27928;1 Fehl Impl ;4274;1;5349;1;27928;1 Fehl Impl nErf ;3884;1 nErf ;4897;1 nErf ;0;1 Fehl Impl ;390;1;452;1;72;1 Fehl Impl nErf ;67;1 nErf ;108;1 nErf ;72;1 Fehl Impl ;70;1;118;1;28;1 Fehl Impl ;37;1;5;1;161;1 Fehl Impl ;150;1;62;1;81;1 Fehl Impl ;2;1;42;1;8;1 Fehl Impl ;70;1 Fehl Impl ;237;1 Fehl Impl 
63943;1 Fehl Impl ;9587;1;597;1;63943;1 Fehl Impl nErf ;9546;1 nErf ;523;1 nErf ;0;1 Fehl Impl ;41;1;74;1;71;1 Fehl Impl nErf ;101;1 nErf ;29;1 nErf ;71;1 Fehl Impl ;101;1;25;1;255;1 Fehl Impl ;44;1;58;1;159;1 Fehl Impl ;21;1;55;1;80;1 Fehl Impl ;48;1;16;1;42;1 Fehl Impl ;193;1 Fehl Impl ;17;1
64960;1 Fehl Impl ;3877;1;5426;1;0;1 Fehl Impl nErf ;3600;1 nErf ;5115;1 nErf ;64960;1 Fehl Impl ;277;1;311;1;244;1 Fehl Impl nErf ;167;1 nErf ;21;1 nErf ;174;1 Fehl Impl ;175;1;16;1;244;1 Fehl Impl ;70;1;96;1;71;1 Fehl Impl ;192;1;135;1;73;1 Fehl Impl ;5;1;4;1;56;1 Fehl Impl ;137;1 Fehl Impl ;243;1 Fehl Impl 
62368;1 Fehl Impl ;3872;1;3630;1;0;1 Fehl Impl nErf ;3870;1 nErf ;3214;1 nErf ;62368;1 Fehl Impl ;2;1;416;1;3;1 Fehl Impl nErf ;253;1 nErf ;103;1 nErf ;255;1 Fehl Impl ;253;1;115;1;3;1 Fehl Impl ;96;1;13;1;106;1 Fehl Impl ;198;1;58;1;27;1 Fehl Impl ;40;1;42;1;4;1 Fehl Impl ;22;1;161;1 Fehl Impl 
26684;1 Fehl Impl ;9644;1;2712;1;-2;1 Fehl Impl nErf ;9359;1 nErf ;2692;1 nErf ;46205;1 Fehl Impl ;285;1;20;1;275;1 Fehl Impl nErf ;163;1 nErf ;84;1 nErf ;121;1 Fehl Impl ;165;1;84;1;159;1 Fehl Impl ;97;1;34;1;32;1 Fehl Impl ;128;1;155;1;8;1 Fehl Impl ;45;1;37;1;73;1 Fehl Impl ;135;1 Fehl Impl ;96;1 Fehl Impl 
6574;1 Fehl Impl ;7003;1;4062;1;0;1 Fehl Impl nErf ;6961;1 nErf ;3980;1 nErf ;6574;1 Fehl Impl ;42;1;82;1;181;1 Fehl Impl nErf ;33;1 nErf ;96;1 nErf ;193;1 Fehl Impl ;33;1;97;1;181;1 Fehl Impl ;71;1;30;1;213;1 Fehl Impl ;90;1;89;1;61;1 Fehl Impl ;1;1;21;1;249;1 Fehl Impl ;47;1;225;1 Fehl Impl 
