VKDiffKfz;Verkehrszustand;qPFlink;qGFlink;qPNormal;qGNorml;qPTräge;qGTräge;vPFlink;vGFlink;vPNormal;vGNorml;vPTräge;vGTräge;kBGFlink;kBGNormal;kBGTräge;vst, MARZ;vst, NRW;vst,NRW, RDS;KKfzStoerfall;KKfzStoerfallG;VKfzStoerfallG;QKfzStoerfallG;VST, lokale Störfallerkennung
2,006435052;Stau;198032;92949;119220;66678;66678;27272;140;111;119;104;105;94;834;638;290;4;6;6;1926;1463,5;0,32761716;479,4677144;6
0,67908503;Stau;86034;72447;98783;67000;74881;35282;245;171;196;151;153;115;423;444;308;4;6;4;385;1032,099994;0,658731672;679,8769541;6
-10,57205315;Freier Verkehr;162784;113336;143544;98930;110791;54397;0;45;49;96;94;84;2537;1034;647;5;6;6;1,960606315;620,0442325;81,44601538;50500,1321;2
1,610391045;Freier Verkehr;163128;131957;162605;119434;136643;71506;273;151;159;146;148;107;872;816;670;6;6;5;3436;2028,022116;0,17061088;346,0026369;6
-0,206377061;Freier Verkehr;149201;137095;163213;129366;150997;85064;244;183;200;172;181;125;748;754;682;6;6;4;3381;2704,511058;0,095934446;259,4557703;6
-12,90567435;Freier Verkehr;116434;124139;138671;125979;149135;92231;0;53;49;111;117;93;2357;1135;988;6;6;6;1,220137367;1623,194674;0,266324351;432,2962682;6
-0,768239638;Freier Verkehr;0;25032;19173;75690;91766;64638;269;154;151;154;162;114;163;491;567;6;6;4;4484;3053,597337;0,075253822;229,794869;6
0,064430558;Freier Verkehr;178146;96485;88056;101399;114863;77132;87;100;91;127;138;106;969;800;730;6;6;6;2876;2982,558401;0,078881322;235,2681509;6
1,425699771;Freier Verkehr;0;19501;3698;60941;68878;54069;42;71;53;102;111;93;274;599;580;6;6;6;307;1912,335025;0,191877538;366,934136;6
1,565132052;Freier Verkehr;0;4104;0;36667;39009;37925;0;18;0;63;63;67;225;582;569;6;6;6;307;1270,201005;0,434917809;552,4330378;6
