qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(2);qLkw(2);vPkw(2);vLkw(2);vgKfz(2);b(2);tNetto(2);s(2)
8979,766228;51,75939207;63,65855892;108,3870968;175,7805109;46,51936399;241,0386975;24,15540025;8980;52;64;108;176;47;241;24
2938,932463;216,4372692;248,9609973;108,1270791;59,21811579;14,39069796;200,6256294;6,23035371;2939;216;249;108;59;14;201;6
6276,741844;235,4655599;84,37482833;99,94933927;25,4402295;32,61024812;197,3259682;26,22302927;6277;235;84;100;25;33;197;26
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
6763,51207;94,16486099;130,4144414;21,95867794;99,77721488;39,35972167;131,465041;36,53218177;6764;94;130;22;100;39;131;37
5403,302103;131,5805536;198,6255989;91,5335551;151,9638661;44,40809351;81,7055269;46,52394177;5403;132;199;92;152;44;82;47
9502,853481;360,0878933;254,2529069;71,00680563;175,2739036;26,75801874;140,3601184;3,259376812;9503;360;254;71;175;27;140;3
8977,935118;314,1727958;124,2587054;52,64076662;185,6013672;5,509811701;70,27344584;43,20047609;8978;314;124;53;186;6;70;43
4739,524522;297,5249489;118,0562761;33,6814478;154,3748283;26,97225867;78,31247902;7,068086795;4740;298;118;34;154;27;78;7
1373,027741;267,4794763;14,21033357;114,3968017;27,21640675;14,03912473;187,092349;46,98782311;1373;267;14;114;27;14;187;47
5277,871029;477,2026734;163,5666982;95,75243385;35,90197455;34,61348308;245,9181494;9,87121189;5278;477;164;96;36;35;246;10
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;17
4273,812067;390,3927732;70,43687246;36,68080691;150,3707999;2,087466048;69,89989929;5,092013306;4274;390;70;37;150;2;70;5
9587,084567;41,24576556;100,6863613;44,33851131;21,39957884;47,79564806;193,3259072;3,485213782;9587;41;101;44;21;48;193;3
3876,766259;277,0317698;175,3645436;70,25971252;191,5890988;4,597918638;137,2238838;21,97485275;3877;277;175;70;192;5;137;22
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;96;198;40;22;36
9644,15418;284,8292489;165,3176977;97,10379345;128,1655324;45,48478652;135,2627644;31,88421278;9644;285;165;97;128;45;135;32
