qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;tNetto(t)(1);Statusflag;tNetto(t)(2);Statusflag;tNetto(t)(3);Statusflag
3820;1;5001;0,97 wMaL ;4949;1;3448;1 nErf ;8928;1 nErf ;4520;1 nErf ;89;0,97 wMaL ;52;1;429;1;119;1 nErf ;64;1 nErf ;87;1 nErf ;122;1;64;1;95;1;94;1;108;1;6;1;181;1;176;1;10;1;48;1;47;1;46;1;222;1;241;1;16;1
1007;1;2939;1;5123;1;823;1 nErf ;2723;1 nErf ;4775;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;348;1;197;1 nErf ;239;1 nErf ;235;1 nErf ;227;1;249;1;248;1;61;1;108;1;56;1;198;1;59;1;92;1;20;1;14;1;31;1;80;1;201;1;81;1
5965;1;5001;0,97 wMaL ;8297;1;5744;1 nErf ;6042;1 nErf ;7908;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;389;1;14;1 nErf ;85;1 nErf ;22;1 nErf ;13;1;84;1;19;1;37;1;100;1;76;1;17;1;25;1;134;1;33;1;33;1;25;1;54;1;197;1;75;1
8991;1;4713;1;6388;1;8854;1 nErf ;4424;1 nErf ;5944;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;444;1;238;1 nErf ;54;1 nErf ;63;1 nErf ;241;1;57;1;62;1;27;1;11;1;79;1;66;1;186;1;29;1;25;1;30;1;24;1;3;1;18;1;106;1
8846;1;5001;0,97 wMaL ;8160;1;8627;1 nErf ;6670;1 nErf ;7894;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;266;1;232;1 nErf ;128;1 nErf ;73;1 nErf ;237;1;130;1;75;1;39;1;22;1;8;1;148;1;100;1;88;1;43;1;39;1;46;1;30;1;131;1;139;1
9585;1;5001;0,97 wMaL ;3065;1;9579;1 nErf ;5271;1 nErf ;3052;1 nErf ;6;1;59;0,97 wMaL ;13;1;20;1 nErf ;196;1 nErf ;8;1 nErf ;20;1;199;1;8;1;66;1;92;1;94;1;73;1;152;1;48;1;8;1;44;1;14;1;205;1;82;1;57;1
-2;0 Impl ;5001;0,97 wMaL ;7623;1;-1;0 nErm nErf ;9143;1 nErf ;7266;1 nErf ;-2;0 Impl ;59;0,97 wMaL ;357;1;-1;0 nErm nErf ;247;1 nErf ;231;1 nErf ;134;1;254;1;241;1;66;1;71;1;17;1;125;1;175;1;137;1;39;1;27;1;52;1;169;1;140;1;202;1
4074;1;5001;0,97 wMaL ;1322;1;4028;1 nErf ;8664;1 nErf ;1179;1 nErf ;46;1;59;0,97 wMaL ;143;1;85;1 nErf ;122;1 nErf ;16;1 nErf ;86;1;124;1;4;1;35;1;53;1;113;1;168;1;186;1;23;1;12;1;6;1;6;1;13;1;70;1;83;1
-2;0 Impl ;4740;1;7529;1;-1;0 nErm nErf ;4442;1 nErf ;7162;1 nErf ;-2;0 Impl ;59;0,97 wMaL ;367;1;-1;0 nErm nErf ;113;1 nErf ;62;1 nErf ;199;1;118;1;64;1;90;1;34;1;30;1;4;1;154;1;137;1;43;1;27;1;59;1;220;1;78;1;85;1
0;1;1373;1;3713;1;0;1 nErf ;1106;1 nErf ;3629;1 nErf ;0;1;59;0,97 wMaL ;84;1;-1;0 nErm nErf ;33;1 nErf ;7;1 nErf ;235;1;14;1;5;1;139;1;114;1;105;1;13;1;27;1;41;1;13;1;14;1;13;1;35;1;187;1;4;1
10001;0,97 wMaL ;5001;0,97 wMaL ;5611;1;0;1 nErf ;4801;1 nErf ;5508;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;103;1;74;1 nErf ;158;1 nErf ;111;1 nErf ;26;1;164;1;111;1;74;1;96;1;101;1;143;1;36;1;13;1;93;1;35;1;25;1;62;1;246;1;205;1
10001;0,97 wMaL ;461;1;8992;1;0;1 nErf ;361;1 nErf ;8697;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;295;1;164;1 nErf ;125;1 nErf ;31;1 nErf ;-1;0 nErm ;133;1;31;1;164;1;96;1;30;1;230;1;134;1;17;1;81;1;9;1;42;1;12;1;5;1;160;1
10001;0,97 wMaL ;4274;1;5349;1;27928;1 nErf ;3884;1 nErf ;4897;1 nErf ;0;1;59;0,97 wMaL ;452;1;72;1 nErf ;67;1 nErf ;108;1 nErf ;72;1;70;1;118;1;28;1;37;1;5;1;161;1;150;1;62;1;81;1;2;1;42;1;8;1;70;1;237;1
10001;0,97 wMaL ;5001;0,97 wMaL ;597;1;63943;1 nErf ;9546;1 nErf ;523;1 nErf ;0;1;41;1;74;1;71;1 nErf ;101;1 nErf ;29;1 nErf ;71;1;101;1;25;1;-1;0 nErm ;44;1;58;1;159;1;21;1;55;1;80;1;48;1;16;1;42;1;193;1;17;1
