qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(3);qLkw(3);vPkw(3);vLkw(3);vgKfz(3);b(3);tNetto(3);s(3)
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
5123,142186;347,5447859;247,5118259;56,27002777;91,61900693;31,02633747;80,74947356;46,2981048;5123;348;248;56;92;31;81;46
8297,372356;389,0804773;18,65059359;76,24744407;134,2716758;24,50392163;74,56361583;21,20883816;8297;389;19;76;134;25;75;21
6387,829218;443,9222388;62,47096164;78,88790551;28,99990844;23,62681967;105,686697;42,34748375;6388;444;62;79;29;24;106;42
8160,344249;266,2587359;74,70314646;8,104495376;87,93725394;46,07623524;138,7011933;11,20792261;8160;266;75;8;88;46;139;11
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
7623,218482;356,8681906;240,760094;17,14285714;136,5080721;51,7014069;201,6217536;11,04159673;7623;357;241;17;137;52;202;11
1322,367016;143,4980316;4,085146641;112,5437178;22,50068667;5,597705008;83,24552141;14,10565508;1322;143;4;113;23;6;83;14
7528,611103;367,4275948;63,64146855;29,89471114;137,1428571;58,65047151;84,80361339;16,00695822;7529;367;64;30;137;59;85;16
3712,576678;83,59019745;4,674275948;105,4170354;40,55787835;13,0979339;3,63554796;16,95150609;3713;84;5;105;41;13;4;17
5610,522782;103,030488;110,5625172;101,4508499;12,60292367;25,47074801;205,1177709;49,4247261;5611;103;111;101;13;25;205;49
8991,973632;295,495468;30,59596545;29,5760979;16,6850795;41,59001434;160,204413;5,340739158;8992;295;31;30;17;42;160;5
5348,979156;451,8112735;118,3917356;4,511856441;62,43354595;42,33161412;237,0315256;24,82680746;5349;452;118;5;62;42;237;25
596,6368603;73,56486709;25,39457381;57,76787622;55,22141179;16,41224403;17,41032136;37,9360332;597;74;25;58;55;16;17;38
