qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(2);qLkw(2);vPkw(2);vLkw(2);vgKfz(2);b(2);tNetto(2);s(2)
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;280;60;13;180;25;20;11
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;285;55;10;190;32;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;285;62;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;285;57;12;182;29;21;12
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4720;285;53;9;188;33;15;7
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;65;14;185;27;17;16
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;17
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;100;198;40;22;36
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;55;10;190;35;14;11
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;59;14;201;40;20;7
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;54;12;180;25;17;13
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4700;289;60;10;183;33;23;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4720;289;62;16;192;27;19;14
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4715;289;55;9;187;36;22;7
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4699;289;59;11;194;30;18;9
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;96;198;40;22;36
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;0
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;0
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;100;198;40;22;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;0
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;0
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;96;198;40;22;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;0
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;0
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3850;2;235;80;198;40;22;36
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3900;4;254;105;202;40;18;40
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;10;240;87;180;40;24;45
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3800;22;235;101;220;40;19;35
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3750;9;253;90;200;33;25;49
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;4000;15;253;96;193;33;17;37
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3950;7;253;96;198;33;27;46
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3600;13;240;96;215;33;22;40
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3900;17;253;96;207;40;18;36
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3700;25;240;96;195;55;23;41
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3900;10;222;96;211;60;20;37
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3500;18;250;96;191;28;27;45
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;96;198;40;22;36
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;17
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;100;198;40;22;36
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;17
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;100;198;40;22;36
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
460,8294931;100,4058962;133,1693472;96,1589404;133,9213233;9,142735069;5,066225166;16,63563952;461;100;133;96;134;9;5;17
3871,578112;2,395702994;252,8131962;96,08203375;197,9186377;39,76439711;21,82134465;35,63341166;3872;2;253;100;198;40;22;36
