qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(3);qLkw(3);vPkw(3);vLkw(3);vgKfz(3);b(3);tNetto(3);s(3)
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
4948,576312;428,5561693;94,85757012;5,614185003;9,512009033;46,15497299;15,60417493;33,58409375;4949;429;95;6;10;46;16;34
3064,668722;13,16873684;7,635425886;94,45966979;48,24854274;13,81572924;57,23856319;23,10708945;3065;13;8;94;48;14;57;23
