qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(2);qLkw(2);vPkw(2);vLkw(2);vgKfz(2);b(2);tNetto(2);s(2)
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4711;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4720;289;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4719;288;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4720;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4712;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;279;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;279;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;280;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;12;186;30;18;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;350;60;11;180;28;16;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;59;19;186;30;18;0
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;59;19;186;28;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4703;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;60;11;186;28;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;350;60;11;180;27;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;27;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;11;180;27;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;27;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;11;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;11;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;12;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4713;289;57;11;186;30;18;9
4713,278603;289,3765069;56,51448103;10,67537461;186,0408338;29,95880001;18,38160344;8,580278939;4710;279;60;13;180;28;16;8
