qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(1);qLkw(1);vPkw(1);vLkw(1);vgKfz(1);b(1);tNetto(1);s(1)
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
144,96292;223,4412671;134,2277291;65,6489761;125,0892666;39,24253059;168,7107456;16,31214331;145;223;134;66;125;39;169;16
24368;24368;26,21051668;73,56532487;142,7336955;93,44157231;62,48344371;230,1480148;24368;24368;26;74;143;93;62;230
9859,004486;306,2685018;184,6642964;35,72496719;172,4967193;58,17438276;163,5355693;44,08703879;9859;306;185;36;172;58;164;44
1003,143406;298,7456893;242,9531236;93,70891446;57,19779046;56,23706778;82,11798456;9,778130436;1003;299;243;94;57;56;82;10
