qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;QKfz;Statusflag;QLkw;Statusflag;QPkw;Statusflag;VKfz;Statusflag;VLkw;Statusflag;VPkw;Statusflag
229200;1;300060;0,97 Intp ;;;120180;0,97 Intp ;60180;0,97 Intp ;;;5340;0,97 Intp ;3120;1;;;119;1;64;1;;;122;1;64;1;;;94;1;89;0,97 Intp ;;;46416;0,988 Intp ;60264;0,976 Intp ;395004;1;24480;0,982 Intp ;12264;0,982 Intp ;291432;0,982 Intp ;1140;0,994 Intp ;696;1 Intp ;22512;1;119;0,988 Intp ;94;0,985 Intp ;89;0,994 Intp ;145;0,97618 Intp ;85;0,994 Intp ;90;0,994 Intp ;52;1;61;0,985 Intp ;45;1;501683;0;328176;0;24348;0;101;0;107;0;53;0
60420;1;176340;1;;;49380;1;60180;0,97 Intp ;;;5340;0,97 Intp ;3540;0,97 Intp ;;;157;0,97 Intp ;127;0,97 Intp ;;;197;0,97 Intp ;163;0,97 Intp ;;;61;1;89;0,97 Intp ;;;1008;0,994 Intp ;440;0,99 Intp ;279024;1;804;0,988 Intp ;270;0,9925 Intp ;214248;0,988 Intp ;252;1 Intp ;60;1;11568;1;100;0,9925 Intp ;96;0,9925 Intp ;58;0,994 Intp ;101;0,988 Intp ;100;0,99 Intp ;56;0,994 Intp ;95;0,994 Intp ;80;1 Intp ;72;1;280471;0;543498;0;36228;0;118;0;121;0;100;0
357900;1;300060;0,97 Intp ;;;120180;0,97 Intp ;60180;0,97 Intp ;;;5340;0,97 Intp ;3540;0,97 Intp ;;;14;1;85;1;;;13;1;84;1;;;37;1;89;0,97 Intp ;;;528;0,994 Intp ;180;0,97 Intp ;311700;1;396;0,994 Intp ;180;0,988 Intp ;244932;0,982 Intp ;192;1 Intp ;72;1 Intp ;14820;1;113;0,982 Intp ;105;0,988 Intp ;60;1;97;1 Intp ;126;0,988 Intp ;60;1;82;0,985 Intp ;74;0,982 Intp ;58;1;312407;0;789006;0;51312;0;132;0;135;0;105;0
539460;1;282780;1;;;120180;0,97 Intp ;60180;0,97 Intp ;;;5340;0,97 Intp ;3540;0,97 Intp ;;;157;0,97 Intp ;54;1;;;197;0,9409 Intp ;57;1;;;27;1;11;1;;;600;1 Intp ;240;0,99 Intp ;228648;1;348;1 Intp ;108;0,994 Intp ;179148;0,994 Intp ;204;1 Intp ;140;1 Intp ;13140;1;118;0,9925 Intp ;68;0,9925 Intp ;98;1;139;0,9925 Intp ;74;0,9925 Intp ;91;1;81;0,982 Intp ;82;0,99 Intp ;54;1;229487;0;968610;0;64796;0;139;0;146;0;107;0
530760;1;300060;0,97 Intp ;;;120180;0,97 Intp ;60180;0,97 Intp ;;;5340;0,97 Intp ;3540;0,97 Intp ;;;157;0,97 Intp ;127;0,97 Intp ;;;197;0,97 Intp ;130;1;;;39;1;22;1;;;972;1 Intp ;420;1 Intp ;318936;1;816;0,976 Intp ;780;0,97 Intp ;301476;1;204;0,988 Intp ;240;1 Intp ;17460;1;90;0,988 Intp ;153;0,9803 Intp ;127;0,994 Intp ;78;0,985225 Intp ;174;1 Intp ;134;0,994 Intp ;132;1;61;0,9409 Intp ;65;0,982 Intp ;320327;0;1271682;0;82700;0;170;0;177;0;122;0
575100;1;300060;0,97 Intp ;;;120180;0,97 Intp ;60180;0,97 Intp ;;;360;1;3540;0,97 Intp ;;;20;1;127;0,97 Intp ;;;20;1;163;0,97 Intp ;;;66;1;89;0,97 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
457380;1 Intp ;300060;0,97 Intp ;;;299820;0,97 Intp ;60180;0,97 Intp ;;;0;0 Fehl nErm ;3540;0,97 Intp ;;;102;1;127;0,97 Intp ;;;197;0,97 Intp ;163;0,97 Intp ;;;66;1;71;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244440;1;300060;0,97 Intp ;;;120180;0,97 Intp ;60180;0,97 Intp ;;;2760;1;3540;0,97 Intp ;;;85;1;122;1;;;86;1;124;1;;;35;1;53;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
451740;1 Intp ;284400;1;;;299820;0,97 Intp ;60180;0,97 Intp ;;;0;0 Fehl nErm ;3540;0,97 Intp ;;;0;0 Fehl nErm ;113;1;;;64;1 Intp ;118;1;;;90;1;34;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222780;1 Intp ;82380;1;;;217740;1 Intp ;60180;0,97 Intp ;;;5040;1 Intp ;3540;0,97 Intp ;;;0;0 Fehl nErm ;33;1;;;5;1 Intp ;14;1;;;0;0 Fehl nErm ;89;0,97 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
