qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;tNetto(t)(1);Statusflag;tNetto(t)(2);Statusflag;tNetto(t)(3);Statusflag
3820;1;5001;0,97 wMaL ;4949;1;2003;0,97 wMaL nErf ;1003;0,97 wMaL nErf ;4520;1 nErf ;89;0,97 wMaL ;52;1;429;1;119;1 nErf ;64;1 nErf ;87;1 nErf ;122;1;64;1;95;1;94;1;89;0,97 wMaL ;6;1;97;0,9409 wMaL ;97;0,97 wMaL ;10;1;48;1;47;1;46;1;222;1 Fehl Impl ;241;1 Fehl Impl ;16;1
1007;1;2939;1;5123;1;823;1 nErf ;1003;0,97 wMaL nErf ;4775;1 nErf ;89;0,97 wMaL ;59;0,97 wMaL ;348;1;157;0,97 wMaL nErf ;127;0,97 wMaL nErf ;199;0,97 wMaL nErf ;197;0,97 wMaL ;163;0,97 wMaL ;197;0,97 wMaL ;61;1;89;0,97 wMaL ;56;1;97;0,9409 wMaL ;59;1;92;1;20;1;14;1;31;1;80;1 Fehl Impl ;201;1 Fehl Impl ;81;1 Fehl Impl 
5965;1;5001;0,97 wMaL ;8297;1;2003;0,97 wMaL nErf ;1003;0,97 wMaL nErf ;4997;0,97 wMaL nErf ;89;0,97 wMaL ;59;0,97 wMaL ;389;1;14;1 nErf ;85;1 nErf ;22;1 nErf ;13;1;84;1;19;1;37;1;89;0,97 wMaL ;76;1;17;1;25;1;97;0,97 wMaL ;33;1;33;1;25;1;54;1;197;1 Fehl Impl ;75;1 Fehl Impl 
8991;1;4713;1;6388;1;2003;0,97 wMaL nErf ;1003;0,97 wMaL nErf ;4997;0,97 wMaL nErf ;89;0,97 wMaL ;59;0,97 wMaL ;444;1;157;0,97 wMaL nErf ;54;1 nErf ;63;1 nErf ;197;0,9409 wMaL ;57;1;62;1;27;1;11;1;79;1;66;1;97;0,9409 wMaL ;29;1;25;1;30;1;24;1;3;1;18;1;106;1 Fehl Impl 
8846;1;5001;0,97 wMaL ;8160;1;2003;0,97 wMaL nErf ;1003;0,97 wMaL nErf ;4997;0,97 wMaL nErf ;89;0,97 wMaL ;59;0,97 wMaL ;266;1;157;0,97 wMaL nErf ;127;0,97 wMaL nErf ;73;1 nErf ;197;0,97 wMaL ;130;1;75;1;39;1;22;1;8;1;97;0,9409 wMaL ;97;0,97 wMaL ;88;1;43;1;39;1;46;1;30;1;131;1 Fehl Impl ;139;1 Fehl Impl 
9585;1;5001;0,97 wMaL ;3065;1;2003;0,97 wMaL nErf ;1003;0,97 wMaL nErf ;3052;1 nErf ;6;1;59;0,97 wMaL ;13;1;20;1 nErf ;127;0,97 wMaL nErf ;8;1 nErf ;20;1;163;0,97 wMaL ;8;1;66;1;89;0,97 wMaL ;94;1;73;1;97;0,97 wMaL ;48;1;8;1;44;1;14;1;205;1 Fehl Impl ;82;1 Fehl Impl ;57;1
7623;1 Intp ;5001;0,97 wMaL ;7623;1;4997;0,97 Intp nErf ;1003;0,97 wMaL nErf ;4997;0,97 wMaL nErf ;89;0,97 Fehl wMaL ;59;0,97 wMaL ;357;1;102;1 nErf ;127;0,97 wMaL nErf ;199;0,97 wMaL nErf ;197;0,97 Intp ;163;0,97 wMaL ;197;0,97 wMaL ;66;1;71;1;17;1;97;0,97 wMaL ;97;0,97 wMaL ;97;0,97 wMaL ;39;1;27;1;52;1;169;1 Fehl Impl ;140;1 Fehl Impl ;202;1 Fehl Impl 
4074;1;5001;0,97 wMaL ;1322;1;2003;0,97 wMaL nErf ;1003;0,97 wMaL nErf ;1179;1 nErf ;46;1;59;0,97 wMaL ;143;1;85;1 nErf ;122;1 nErf ;16;1 nErf ;86;1;124;1;4;1;35;1;53;1;113;1;97;0,9409 wMaL ;97;0,9409 wMaL ;23;1;12;1;6;1;6;1;13;1;70;1 Fehl Impl ;83;1 Fehl Impl 
7529;1 Intp ;4740;1;7529;1;4997;0,97 Intp nErf ;1003;0,97 wMaL nErf ;4997;0,97 wMaL nErf ;89;0,97 Fehl wMaL ;59;0,97 wMaL ;367;1;157;0,97 wMaL nErm nErf ;113;1 nErf ;62;1 nErf ;64;1 Intp ;118;1;64;1;90;1;34;1;30;1;4;1 Fehl Impl ;97;0,97 wMaL ;97;0,97 wMaL ;43;1;27;1;59;1;220;1 Fehl Impl ;78;1 Fehl Impl ;85;1 Fehl Impl 
3713;1 Intp ;1373;1;3713;1;3629;1 Intp nErf ;1003;0,97 wMaL nErf ;3629;1 nErf ;84;1 Intp ;59;0,97 wMaL ;84;1;157;0,97 wMaL nErm nErf ;33;1 nErf ;7;1 nErf ;5;1 Intp ;14;1;5;1;113;0,97 Fehl wMaL ;89;0,97 wMaL ;105;1;13;1 Fehl Impl ;27;1;41;1;13;1;14;1;13;1;35;1;187;1 Fehl Impl ;4;1
