qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(1);qLkw(1);vPkw(1);vLkw(1);vgKfz(1);b(1);tNetto(1);s(1)
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
8846,095157;219,2907498;237,0308542;38,59614856;147,6485488;42,55684072;29,56465346;41,86223945;8846;219;237;39;148;43;30;42
4074,221015;45,94561602;85,76006348;34,80941191;167,6198614;12,22083193;13,39320048;18,11120945;4074;46;86;35;168;12;13;18
5964,842677;221,1676382;13,11304056;36,67348247;17,383343;33,28043458;53,51832636;26,91274758;5965;221;13;37;17;33;54;27
